new_method_p_layer_circuit_384,new_method_censored_circuit_384,old_gray_trotter_method
10.78873083793897,19.283458019910697,13.580188599817523
10.367188072885686,18.691103944383777,13.391722498436991
10.311657234675032,18.664507467765524,13.142046282018256
10.050055796949948,18.50138839660291,12.998525776259138
9.95530093783699,18.277395664066233,12.841130544557023
9.778233844259558,17.87328288129391,12.82225657718637
9.37603926530404,17.93826616462263,12.389679807140963
9.439580442424209,17.73014237148619,12.424841200573633
8.994651251361024,17.631338902539216,12.33075984438329
8.802163447528518,17.268833129087973,12.30043581929652
8.774094351271124,16.714721326256203,12.557779837846784
8.924343249462634,16.733019217557136,12.205045300756392
8.582463797523761,16.656355810362154,12.076436768567103
8.335693254217777,16.593991680020366,11.96943737971606
8.304673938586463,16.393884235459662,11.440487051887445
8.339035109576761,16.241694475272574,11.710858371652707
8.093261279020743,15.952239408643331,11.42339019691782
8.06821931983631,15.682375759842852,11.266982963429665
8.011657662550187,15.344618815071646,10.94402059862182
7.996654459617315,15.38987475084573,10.834963909437159
8.026236406614895,15.584736880272251,10.639117955038817
7.943311286589536,15.080098148410244,10.534299730483228
7.845247792437419,15.283999967532452,10.464284672811285
7.8477884975202015,15.086129300315386,10.202165000614045
7.811419398967056,14.898090892912887,9.789571352119566
7.819260560810544,14.702484461438704,10.227794685852071
7.777478474826964,14.828815390144817,10.0527061045767
7.4938859086313245,14.654541997305467,9.67451876065172
7.688505042158428,14.748207792790732,9.972763631914983
7.674625463297794,14.674461866846448,10.298770427442506
7.425422150407625,14.473140881497097,9.734917133161991
7.325048617571492,14.39797862357968,9.604356146136707
7.534809821788121,14.493335271419701,9.580286523000698
7.334760094071325,14.472432010726598,9.7120477200503
7.349672170929554,14.36589817372303,9.383695798325554
7.487163195242549,14.199619008469744,9.52294398617891
7.226930529729278,14.16743649146186,9.395709147764558
7.184336714772476,14.199611346764081,9.138518999208037
7.257433526330596,14.134934860615667,8.935178345307994
7.441662883790596,13.923633203230924,9.113792270324314
7.1642640464609375,14.046529940853244,8.86252384906342
7.106358933996077,13.97901417137238,9.134894813526968
7.167360079718364,13.803671713543466,8.786073406097056
7.133635829002669,13.81638503187801,9.019065894555336
6.942292328605281,14.041437728483444,8.576487262345688
6.9853446359385085,13.61066790173525,8.725417824246524
7.072106804191224,13.629078215054573,8.702205065657989
6.962894447416218,13.595627713859741,8.438029399598081
6.963935787222903,13.672717850313711,8.280990784026901
6.924705226385582,13.482158967602164,8.311637828872914
6.780070781623186,13.578538541757638,8.17666761288547
6.963245352017812,13.35246298362696,7.995444350494822
7.0310135430100615,13.405497788652962,7.752400628561437
6.6399661849324305,13.387797349515395,7.754348001962223
6.615142339410459,13.30927229879272,7.458219061331152
6.7330261226995685,13.492807385656523,7.4765190462730144
6.790842972472483,13.34512115397428,7.384603428123941
6.818956108924209,13.397626559331751,7.2306280527984175
6.47731705135659,13.40862806426525,7.21036754143725
6.610697879615069,13.334236812156806,7.176063589158645
6.614928711404727,13.403413689166433,7.145320343647297
6.580298354208163,13.342646287589648,7.1252004694672255
6.618648885667007,13.30106241170471,6.870771508364347
6.222694967492364,13.326451731829469,6.832983609267453
6.368416092776558,13.236445797844564,6.619170682456973
6.188844980145149,13.209974559204449,6.710136926669058
6.306497567157705,13.19808026916553,6.778553997981819
6.242091336940661,13.222068786004376,6.494469284986953
6.223303054552742,13.389842509512818,6.4379387561882755
6.306763205747509,13.168741059866742,6.411634865056001
6.151629311715971,13.149648879469382,6.339204997307066
6.285842687530129,13.189231758084798,6.056242072931012
6.093180637411117,13.166316634346975,6.175613583500064
6.223726454471323,13.104928849977199,6.242174598312111
6.269186710443239,13.129573173895329,6.1569787251017
5.9022786172958215,13.020681746917067,6.207859285776144
5.942631968716077,13.197338302754847,5.831711673408181
